,location_code,fiscal_year,budget_category,amountNum
4580,K325,2020,Leadership,264846
4581,K325,2020,Paraprofessionals,250555
4582,K325,2020,Teacher,1430423
4583,K325,2021,Leadership,280942
4584,K325,2021,Paraprofessionals,216694
4585,K325,2021,Teacher,1354646
4586,K325,2022,Leadership,314565
4587,K325,2022,Paraprofessionals,187740
4588,K325,2022,Teacher,1252808
4589,K325,2023,Leadership,243711
4590,K325,2023,Paraprofessionals,164848
4591,K325,2023,Teacher,1194525
4592,K326,2018,Leadership,294701
4593,K326,2018,Paraprofessionals,280604
4594,K326,2018,Teacher,1838025
4595,K326,2019,Leadership,308366
4596,K326,2019,Paraprofessionals,328447
4597,K326,2019,Teacher,1864236
4598,K326,2020,Leadership,308306
4599,K326,2020,Paraprofessionals,358829
4600,K326,2020,Teacher,1762928
4601,K326,2021,Leadership,128720
4602,K326,2021,Paraprofessionals,330423
4603,K326,2021,Teacher,1740889
4604,K326,2022,Leadership,164665
4605,K326,2022,Paraprofessionals,399534
4606,K326,2022,Teacher,2405867
4607,K326,2023,Leadership,167334
4608,K326,2023,Paraprofessionals,496073
4609,K326,2023,Teacher,2342378
4610,K327,2018,Leadership,277611
4611,K327,2018,Paraprofessionals,347902
4612,K327,2018,Teacher,2413659
4613,K327,2019,Leadership,381829
4614,K327,2019,Paraprofessionals,557247
4615,K327,2019,Teacher,2546495
4616,K327,2020,Leadership,417105
4617,K327,2020,Paraprofessionals,594282
4618,K327,2020,Teacher,2527400
4619,K327,2021,Leadership,440179
4620,K327,2021,Paraprofessionals,692482
4621,K327,2021,Teacher,2692825
4622,K327,2022,Leadership,394253
4623,K327,2022,Paraprofessionals,668228
4624,K327,2022,Teacher,2875469
4625,K327,2023,Leadership,133203
4626,K327,2023,Paraprofessionals,613273
4627,K327,2023,Teacher,2600753
4628,K328,2018,Leadership,279664
4629,K328,2018,Paraprofessionals,144847
4630,K328,2018,Teacher,2496502
4631,K328,2019,Leadership,278014
4632,K328,2019,Paraprofessionals,180547
4633,K328,2019,Teacher,2485269
4634,K328,2020,Leadership,286688
4635,K328,2020,Paraprofessionals,220098
4636,K328,2020,Teacher,2850852
4637,K328,2021,Leadership,201064
4638,K328,2021,Paraprofessionals,215059
4639,K328,2021,Teacher,2521013
4640,K328,2022,Leadership,309118
4641,K328,2022,Paraprofessionals,322788
4642,K328,2022,Teacher,2754110
4643,K328,2023,Leadership,486371
4644,K328,2023,Paraprofessionals,390852
4645,K328,2023,Teacher,2838029
4646,K329,2018,Leadership,381533
4647,K329,2018,Paraprofessionals,639540
4648,K329,2018,Teacher,2748731
4649,K329,2019,Leadership,406163
4650,K329,2019,Paraprofessionals,568487
4651,K329,2019,Teacher,2880270
4652,K329,2020,Leadership,415158
4653,K329,2020,Paraprofessionals,647244
4654,K329,2020,Teacher,2716329
4655,K329,2021,Leadership,441778
4656,K329,2021,Paraprofessionals,583947
4657,K329,2021,Teacher,2631599
4658,K329,2022,Leadership,464431
4659,K329,2022,Paraprofessionals,545857
4660,K329,2022,Teacher,2735750
4661,K329,2023,Leadership,470570
4662,K329,2023,Paraprofessionals,528234
4663,K329,2023,Teacher,2583419
4664,K335,2018,Leadership,263656
4665,K335,2018,Paraprofessionals,302371
4666,K335,2018,Teacher,2333157
4667,K335,2019,Leadership,287252
4668,K335,2019,Paraprofessionals,333889
4669,K335,2019,Teacher,2437325
4670,K335,2020,Leadership,290041
4671,K335,2020,Paraprofessionals,273637
4672,K335,2020,Teacher,1847018
4673,K335,2021,Leadership,302994
4674,K335,2021,Paraprofessionals,350733
4675,K335,2021,Teacher,1845944
4676,K335,2022,Leadership,335736
4677,K335,2022,Paraprofessionals,332322
4678,K335,2022,Teacher,1883093
4679,K335,2023,Leadership,291587
4680,K335,2023,Paraprofessionals,362902
4681,K335,2023,Teacher,1808490
4682,K337,2018,Leadership,269945
4683,K337,2018,Paraprofessionals,78061
4684,K337,2019,Leadership,371490
4685,K337,2019,Paraprofessionals,81555
4686,K337,2020,Leadership,424390
4687,K337,2020,Paraprofessionals,42389
4688,K337,2021,Leadership,452394
4689,K337,2021,Paraprofessionals,51985
4690,K337,2022,Leadership,365995
4691,K337,2022,Paraprofessionals,73689
4692,K337,2023,Leadership,473555
4693,K337,2023,Paraprofessionals,85556
4694,K340,2018,Leadership,153571
4695,K340,2018,Paraprofessionals,134950
4696,K340,2018,Teacher,1257656
4697,K340,2019,Leadership,286774
4698,K340,2019,Paraprofessionals,122338
4699,K340,2019,Teacher,1381919
4700,K340,2020,Leadership,291670
4701,K340,2020,Paraprofessionals,127163
4702,K340,2020,Teacher,1341526
4703,K340,2021,Leadership,291976
4704,K340,2021,Paraprofessionals,177395
4705,K340,2021,Teacher,1551416
4706,K340,2022,Leadership,326713
4707,K340,2022,Paraprofessionals,141769
4708,K340,2022,Teacher,1682188
4709,K340,2023,Leadership,325402
4710,K340,2023,Paraprofessionals,64662
4711,K340,2023,Teacher,1554119
4712,K344,2018,Leadership,501780
4713,K344,2018,Paraprofessionals,354966
4714,K344,2019,Leadership,550552
4715,K344,2019,Paraprofessionals,448579
4716,K344,2020,Leadership,572875
4717,K344,2020,Paraprofessionals,299984
4718,K344,2021,Leadership,602710
4719,K344,2021,Paraprofessionals,312764
4720,K344,2022,Leadership,653389
4721,K344,2022,Paraprofessionals,360853
4722,K344,2023,Leadership,803215
4723,K344,2023,Paraprofessionals,332485
4724,K345,2018,Leadership,389245
4725,K345,2018,Paraprofessionals,582728
4726,K345,2018,Teacher,4059287
4727,K345,2019,Leadership,411740
4728,K345,2019,Paraprofessionals,552415
4729,K345,2019,Teacher,3758144
4730,K345,2020,Leadership,421031
4731,K345,2020,Paraprofessionals,661383
4732,K345,2020,Teacher,4406040
4733,K345,2021,Leadership,328200
4734,K345,2021,Paraprofessionals,677760
4735,K345,2021,Teacher,4651442
4736,K345,2022,Leadership,437499
4737,K345,2022,Paraprofessionals,568490
4738,K345,2022,Teacher,4623659
4739,K345,2023,Leadership,440645
4740,K345,2023,Paraprofessionals,415929
4741,K345,2023,Teacher,4651578
4742,K346,2018,Leadership,410934
4743,K346,2018,Paraprofessionals,742565
4744,K346,2018,Teacher,4151390
4745,K346,2019,Leadership,438415
4746,K346,2019,Paraprofessionals,764514
4747,K346,2019,Teacher,4368943
4748,K346,2020,Leadership,443343
4749,K346,2020,Paraprofessionals,825261
4750,K346,2020,Teacher,4615922
4751,K346,2021,Leadership,313034
4752,K346,2021,Paraprofessionals,845129
4753,K346,2021,Teacher,4501181
4754,K346,2022,Leadership,426186
4755,K346,2022,Paraprofessionals,808307
4756,K346,2022,Teacher,4648677
4757,K346,2023,Leadership,307161
4758,K346,2023,Paraprofessionals,719682
4759,K346,2023,Teacher,4509449
4760,K347,2018,Leadership,396984
4761,K347,2018,Paraprofessionals,412999
4762,K347,2018,Teacher,2161994
4763,K347,2019,Leadership,427310
4764,K347,2019,Paraprofessionals,458826
4765,K347,2019,Teacher,2350922
4766,K347,2020,Leadership,446414
4767,K347,2020,Paraprofessionals,396187
4768,K347,2020,Teacher,2469294
4769,K347,2021,Leadership,477217
4770,K347,2021,Paraprofessionals,407428
4771,K347,2021,Teacher,2424488
4772,K347,2022,Leadership,405663
4773,K347,2022,Paraprofessionals,345772
4774,K347,2022,Teacher,2253478
4775,K347,2023,Leadership,494380
4776,K347,2023,Paraprofessionals,311471
4777,K347,2023,Teacher,2368444
4778,K348,2018,Leadership,187025
4779,K348,2018,Paraprofessionals,81462
4780,K348,2019,Leadership,287190
4781,K348,2019,Paraprofessionals,111430
4782,K348,2020,Leadership,292566
4783,K348,2020,Paraprofessionals,122973
4784,K348,2021,Leadership,446884
4785,K348,2021,Paraprofessionals,136488
4786,K348,2022,Leadership,502059
4787,K348,2022,Paraprofessionals,121135
4788,K348,2023,Leadership,483145
4789,K348,2023,Paraprofessionals,168777
4790,K349,2018,Leadership,274876
4791,K349,2018,Paraprofessionals,89456
4792,K349,2018,Teacher,2550224
4793,K349,2019,Leadership,289506
4794,K349,2019,Paraprofessionals,207958
4795,K349,2019,Teacher,2642755
4796,K349,2020,Leadership,266635
4797,K349,2020,Paraprofessionals,258566
4798,K349,2020,Teacher,2325378
4799,K349,2021,Leadership,321449
4800,K349,2021,Paraprofessionals,246178
4801,K349,2021,Teacher,2305862
4802,K349,2022,Leadership,315845
4803,K349,2022,Paraprofessionals,284327
4804,K349,2022,Teacher,2376580
4805,K349,2023,Leadership,322179
4806,K349,2023,Paraprofessionals,244668
4807,K349,2023,Teacher,2460365
4808,K350,2018,Leadership,234204
4809,K350,2018,Paraprofessionals,78635
4810,K350,2019,Leadership,342336
4811,K350,2019,Paraprofessionals,81559
4812,K350,2020,Leadership,444538
4813,K350,2020,Paraprofessionals,84776
4814,K350,2021,Leadership,455789
4815,K350,2021,Paraprofessionals,89362
4816,K350,2022,Leadership,467450
4817,K350,2022,Paraprofessionals,115152
4818,K350,2023,Leadership,184934
4819,K350,2023,Paraprofessionals,133661
4820,K351,2018,Leadership,258216
4821,K351,2018,Paraprofessionals,178468
4822,K351,2018,Teacher,1183726
4823,K351,2019,Leadership,181897
4824,K351,2019,Paraprofessionals,195396
4825,K351,2019,Teacher,1235178
4826,K351,2020,Leadership,159514
4827,K351,2020,Paraprofessionals,145076
4828,K351,2020,Teacher,1332092
4829,K351,2021,Leadership,166528
4830,K351,2021,Paraprofessionals,226958
4831,K351,2021,Teacher,1528721
4832,K351,2022,Leadership,215318
4833,K351,2022,Paraprofessionals,223775
4834,K351,2022,Teacher,1848177
4835,K351,2023,Leadership,257527
4836,K351,2023,Paraprofessionals,139326
4837,K351,2023,Teacher,1904927
4838,K352,2018,Leadership,254729
4839,K352,2018,Paraprofessionals,221488
4840,K352,2018,Teacher,1518778
4841,K352,2019,Leadership,282208
4842,K352,2019,Paraprofessionals,176216
4843,K352,2019,Teacher,1547545
4844,K352,2020,Leadership,286033
4845,K352,2020,Paraprofessionals,198863
4846,K352,2020,Teacher,1421540
4847,K352,2021,Leadership,300168
4848,K352,2021,Paraprofessionals,183835
4849,K352,2021,Teacher,1278411
4850,K352,2022,Leadership,318404
4851,K352,2022,Paraprofessionals,178081
4852,K352,2022,Teacher,1207790
4853,K352,2023,Leadership,266885
4854,K352,2023,Paraprofessionals,180104
4855,K352,2023,Teacher,1558403
4856,K353,2018,Leadership,262347
4857,K353,2018,Paraprofessionals,161893
4858,K353,2018,Teacher,831465
4859,K353,2019,Leadership,279432
4860,K353,2019,Paraprofessionals,163121
4861,K353,2019,Teacher,990000
4862,K353,2020,Leadership,286238
4863,K353,2020,Paraprofessionals,91700
4864,K353,2020,Teacher,992651
4865,K353,2021,Leadership,299014
4866,K353,2021,Paraprofessionals,134040
4867,K353,2021,Teacher,997110
4868,K353,2022,Leadership,316058
4869,K353,2022,Paraprofessionals,99432
4870,K353,2022,Teacher,987402
4871,K353,2023,Leadership,317543
4872,K353,2023,Paraprofessionals,81556
4873,K353,2023,Teacher,1062582
4874,K354,2018,Leadership,316643
4875,K354,2018,Paraprofessionals,404566
4876,K354,2018,Teacher,1832027
4877,K354,2019,Leadership,391319
4878,K354,2019,Paraprofessionals,396910
4879,K354,2019,Teacher,2261905
4880,K354,2020,Leadership,414264
4881,K354,2020,Paraprofessionals,339014
4882,K354,2020,Teacher,2309613
4883,K354,2021,Leadership,454651
4884,K354,2021,Paraprofessionals,318472
4885,K354,2021,Teacher,2212143
4886,K354,2022,Leadership,389138
4887,K354,2022,Paraprofessionals,189041
4888,K354,2022,Teacher,1943806
4889,K354,2023,Leadership,472151
4890,K354,2023,Paraprofessionals,135469
4891,K354,2023,Teacher,1720190
4892,K361,2018,Leadership,270155
4893,K361,2018,Paraprofessionals,485081
4894,K361,2018,Teacher,2444013
4895,K361,2019,Leadership,416535
4896,K361,2019,Paraprofessionals,860426
4897,K361,2019,Teacher,4299409
4898,K361,2020,Leadership,422317
4899,K361,2020,Paraprofessionals,921416
4900,K361,2020,Teacher,3682937
4901,K361,2021,Leadership,445508
4902,K361,2021,Paraprofessionals,978788
4903,K361,2021,Teacher,3702660
4904,K361,2022,Leadership,462029
4905,K361,2022,Paraprofessionals,646556
4906,K361,2022,Teacher,3754595
4907,K361,2023,Leadership,340034
4908,K361,2023,Paraprofessionals,584729
4909,K361,2023,Teacher,3737826
4910,K363,2018,Leadership,255598
4911,K363,2018,Paraprofessionals,26989
4912,K363,2018,Teacher,464190
4913,K363,2019,Leadership,271311
4914,K363,2019,Paraprofessionals,98817
4915,K363,2019,Teacher,1224957
4916,K363,2020,Leadership,279225
4917,K363,2020,Paraprofessionals,93133
4918,K363,2020,Teacher,743420
4919,K363,2021,Leadership,292259
4920,K363,2021,Paraprofessionals,126078
4921,K363,2021,Teacher,1655717
4922,K363,2022,Leadership,338195
4923,K363,2022,Paraprofessionals,41003
4924,K363,2022,Teacher,1665819
4925,K363,2023,Leadership,330245
4926,K363,2023,Paraprofessionals,40778
4927,K363,2023,Teacher,1796713
4928,K364,2018,Leadership,256894
4929,K364,2018,Paraprofessionals,189535
4930,K364,2018,Teacher,2198530
4931,K364,2019,Leadership,272849
4932,K364,2019,Paraprofessionals,235157
4933,K364,2019,Teacher,2498643
4934,K364,2020,Leadership,281172
4935,K364,2020,Paraprofessionals,211392
4936,K364,2020,Teacher,2177336
4937,K364,2021,Leadership,294793
4938,K364,2021,Paraprofessionals,173335
4939,K364,2021,Teacher,1911481
4940,K364,2022,Leadership,304781
4941,K364,2022,Paraprofessionals,180976
4942,K364,2022,Teacher,1973648
4943,K364,2023,Leadership,236341
4944,K364,2023,Paraprofessionals,144991
4945,K364,2023,Teacher,1808411
4946,K366,2023,Leadership,319361
4947,K366,2023,Paraprofessionals,370646
4948,K366,2023,Teacher,2467969
4949,K368,2018,Leadership,585271
4950,K368,2018,Paraprofessionals,2637779
4951,K368,2018,Teacher,1192424
4952,K368,2019,Leadership,467482
4953,K368,2019,Paraprofessionals,2968307
4954,K368,2019,Teacher,1242232
4955,K368,2020,Leadership,445307
4956,K368,2020,Paraprofessionals,3151728
4957,K368,2020,Teacher,1169025
4958,K368,2021,Leadership,490952
4959,K368,2021,Paraprofessionals,3236835
4960,K368,2021,Teacher,1100476
4961,K368,2022,Leadership,573073
4962,K368,2022,Paraprofessionals,2793016
4963,K368,2022,Teacher,923799
4964,K368,2023,Leadership,606552
4965,K368,2023,Paraprofessionals,2541797
4966,K368,2023,Teacher,940721
4967,K369,2018,Leadership,681573
4968,K369,2018,Paraprofessionals,5361322
4969,K369,2018,Teacher,2982344
4970,K369,2019,Leadership,860798
4971,K369,2019,Paraprofessionals,5215471
4972,K369,2019,Teacher,2600195
4973,K369,2020,Leadership,877478
4974,K369,2020,Paraprofessionals,6139817
4975,K369,2020,Teacher,2676609
4976,K369,2021,Leadership,966345
4977,K369,2021,Paraprofessionals,6497394
4978,K369,2021,Teacher,2817450
4979,K369,2022,Leadership,1004024
4980,K369,2022,Paraprofessionals,6019316
4981,K369,2022,Teacher,2456482
4982,K369,2023,Leadership,937278
4983,K369,2023,Paraprofessionals,5861476
4984,K369,2023,Teacher,2504138
4985,K370,2018,Leadership,583336
4986,K370,2018,Paraprofessionals,2905293
4987,K370,2018,Teacher,1105403
4988,K370,2019,Leadership,611809
4989,K370,2019,Paraprofessionals,2929942
4990,K370,2019,Teacher,1057365
4991,K370,2020,Leadership,624689
4992,K370,2020,Paraprofessionals,3191675
4993,K370,2020,Teacher,1258950
4994,K370,2021,Leadership,652152
4995,K370,2021,Paraprofessionals,3228217
4996,K370,2021,Teacher,1292256
4997,K370,2022,Leadership,675339
4998,K370,2022,Paraprofessionals,2837748
4999,K370,2022,Teacher,856683
5000,K370,2023,Leadership,681000
5001,K370,2023,Paraprofessionals,2872588
5002,K370,2023,Teacher,942450
5003,K371,2018,Leadership,450436
